,compound,neg,neu,pos,Date,Open,High,Low,Close,Adj Close,Volume
51,0.0604401888772298,0.038008394543546695,0.8893095487932844,0.07268730325288562,2018-02-22,2710.419922,2731.26001,2697.77002,2703.959961,2703.959961,3701270000
52,0.049480921895006406,0.05303841229193342,0.8693649167733676,0.07760307298335467,2018-02-23,2715.800049,2747.76001,2713.73999,2747.300049,2747.300049,3189190000
53,0.06309561904761905,0.0379047619047619,0.8890647619047619,0.07303238095238095,2018-02-26,2757.370117,2780.639893,2753.780029,2779.600098,2779.600098,3424650000
54,0.07763253424657535,0.034583333333333334,0.8850627853881279,0.08035502283105024,2018-02-27,2780.449951,2789.149902,2744.219971,2744.280029,2744.280029,3745080000
55,0.06396397590361445,0.04833734939759036,0.8743771084337348,0.07728674698795181,2018-02-28,2753.780029,2761.52002,2713.540039,2713.830078,2713.830078,4230660000
56,0.08605945355191257,0.03227868852459016,0.8892928961748634,0.07842622950819672,2018-03-01,2715.219971,2730.889893,2659.649902,2677.669922,2677.669922,4503970000
57,0.034154411764705885,0.055056149732620324,0.8718101604278076,0.07313101604278074,2018-03-02,2658.889893,2696.25,2647.320068,2691.25,2691.25,3882450000
58,0.046876106194690265,0.055224778761061945,0.8663522123893805,0.07842300884955752,2018-03-05,2681.060059,2728.090088,2675.75,2720.939941,2720.939941,3710810000
59,0.05318576923076924,0.047084615384615384,0.8771858974358975,0.07572820512820512,2018-03-06,2730.179932,2732.080078,2711.26001,2728.120117,2728.120117,3370690000
60,0.03827403598971722,0.06663496143958869,0.8511516709511568,0.0822107969151671,2018-03-07,2710.179932,2730.600098,2701.73999,2726.800049,2726.800049,3393270000
61,0.056382067247820675,0.040926525529265255,0.886510585305106,0.07256039850560399,2018-03-08,2732.75,2740.449951,2722.649902,2738.969971,2738.969971,3212320000
62,0.04461144827586207,0.054736551724137925,0.8709986206896553,0.07426344827586207,2018-03-09,2752.909912,2786.570068,2751.540039,2786.570068,2786.570068,3364100000
63,0.07272919463087249,0.036355704697986574,0.8878976510067115,0.07574161073825504,2018-03-12,2790.540039,2796.97998,2779.26001,2783.02002,2783.02002,3185020000
64,0.054818735083532216,0.05182458233890215,0.871810262529833,0.07636276849642004,2018-03-13,2792.310059,2801.899902,2758.679932,2765.310059,2765.310059,3301650000
65,0.048686125000000004,0.052727500000000004,0.86743875,0.07983375,2018-03-14,2774.060059,2777.110107,2744.379883,2749.47998,2749.47998,3391360000
66,0.06466394948335247,0.04704822043628014,0.8722307692307691,0.08072789896670493,2018-03-15,2754.27002,2763.030029,2741.469971,2747.330078,2747.330078,3500330000
67,0.0309215953307393,0.061715953307393,0.8615252918287938,0.0767704280155642,2018-03-16,2750.570068,2761.850098,2749.969971,2752.01001,2752.01001,5372340000
68,0.07982789968652038,0.03940909090909091,0.8774043887147335,0.08318495297805643,2018-03-19,2741.379883,2741.379883,2694.590088,2712.919922,2712.919922,3302130000
69,0.08550294871794872,0.039337179487179484,0.8723076923076922,0.08835128205128205,2018-03-20,2715.050049,2724.219971,2710.050049,2716.939941,2716.939941,3261030000
70,0.06425811001410436,0.04715514809590973,0.8728349788434415,0.08001269393511988,2018-03-21,2714.98999,2739.139893,2709.790039,2711.929932,2711.929932,3415510000
71,0.059144680851063836,0.04847234042553192,0.8704156028368795,0.08111631205673758,2018-03-22,2691.360107,2695.679932,2641.590088,2643.689941,2643.689941,3739800000
72,0.013800359066427289,0.0673806104129264,0.8581472172351885,0.07447576301615798,2018-03-23,2646.709961,2657.669922,2585.889893,2588.26001,2588.26001,3815080000
73,0.020395848375451265,0.06616245487364622,0.8559061371841156,0.07794043321299639,2018-03-26,2619.350098,2661.360107,2601.810059,2658.550049,2658.550049,3511100000
74,0.05396653796653797,0.045819819819819814,0.8787065637065637,0.07547490347490347,2018-03-27,2667.570068,2674.780029,2596.120117,2612.620117,2612.620117,3706350000
75,0.05594594257178527,0.049212234706616724,0.8685056179775281,0.08228214731585519,2018-03-28,2611.300049,2632.649902,2593.060059,2605.0,2605.0,3864500000
76,0.06501358629130967,0.03942962056303549,0.881796817625459,0.07877356181150551,2018-03-29,2614.409912,2659.070068,2609.719971,2640.870117,2640.870117,3565990000
77,0.028017307692307692,0.05069038461538461,0.881098076923077,0.06821153846153846,2018-04-02,2633.449951,2638.300049,2553.800049,2581.879883,2581.879883,3598520000
78,0.05634613095238095,0.04004166666666667,0.8848373015873017,0.0751170634920635,2018-04-03,2592.169922,2619.139893,2575.48999,2614.449951,2614.449951,3392810000
79,0.015941442542787284,0.06237408312958435,0.865262836185819,0.07235819070904645,2018-04-04,2584.040039,2649.860107,2573.610107,2644.689941,2644.689941,3350340000
80,0.0346310843373494,0.05378192771084338,0.8693530120481927,0.07686506024096386,2018-04-05,2657.360107,2672.080078,2649.580078,2662.840088,2662.840088,3178970000
81,0.022125221238938054,0.0575117994100295,0.8725737463126844,0.06991150442477875,2018-04-06,2645.820068,2656.879883,2586.27002,2604.469971,2604.469971,3299700000
82,0.032831443298969074,0.049450171821305844,0.8804450171821305,0.0701082474226804,2018-04-09,2617.179932,2653.550049,2610.790039,2613.159912,2613.159912,3062960000
83,0.04204101123595506,0.050080898876404496,0.8779606741573034,0.07195168539325843,2018-04-10,2638.409912,2665.449951,2635.780029,2656.870117,2656.870117,3543930000
84,0.047674966532797854,0.04689156626506024,0.8779799196787148,0.07513119143239624,2018-04-11,2643.889893,2661.429932,2639.25,2642.189941,2642.189941,3020760000
85,0.06221005221932115,0.03575195822454308,0.8974973890339425,0.06675456919060052,2018-04-12,2653.830078,2674.719971,2653.830078,2663.98999,2663.98999,3021320000
86,0.08208618127786033,0.033745913818722134,0.8879450222882616,0.07830609212481426,2018-04-13,2676.899902,2680.26001,2645.050049,2656.300049,2656.300049,2960910000
87,0.07464982142857142,0.04146964285714286,0.8736696428571429,0.08486964285714287,2018-04-16,2670.100098,2686.48999,2665.159912,2677.840088,2677.840088,3019700000
88,0.06622799013563502,0.034401972872996296,0.8938557336621455,0.07173859432799014,2018-04-17,2692.73999,2713.340088,2692.050049,2706.389893,2706.389893,3234360000
89,0.04739923830250272,0.046789989118607184,0.8807442872687704,0.07246463547334059,2018-04-18,2710.110107,2717.48999,2703.629883,2708.639893,2708.639893,3383410000
90,0.05724925816023738,0.03743323442136499,0.8905657764589515,0.07199604352126607,2018-04-19,2701.159912,2702.840088,2681.899902,2693.129883,2693.129883,3349370000
91,0.04218293299620733,0.05006826801517067,0.8756675094816688,0.07426042983565108,2018-04-20,2692.560059,2693.939941,2660.610107,2670.139893,2670.139893,3388590000
92,0.0661267223382046,0.04077244258872652,0.8800835073068893,0.07914613778705637,2018-04-23,2675.399902,2682.860107,2657.98999,2670.290039,2670.290039,3017480000
93,-0.016578313253012046,0.06318072289156626,0.8870240963855422,0.04983132530120482,2018-04-24,2680.800049,2683.550049,2617.320068,2634.560059,2634.560059,3706740000
94,0.06041464318813716,0.03155143651529194,0.9010315106580167,0.06741705282669137,2018-04-25,2634.919922,2645.300049,2612.669922,2639.399902,2639.399902,3499440000
95,0.08823902249806051,0.025273855702094648,0.8985197827773468,0.07621179208688905,2018-04-26,2651.649902,2676.47998,2647.159912,2666.939941,2666.939941,3665720000
96,0.08630204708290685,0.027688843398157626,0.8945793244626408,0.07772773797338792,2018-04-27,2675.469971,2677.350098,2659.01001,2669.909912,2669.909912,3219030000
97,0.06328284923928078,0.03911618257261411,0.8899778699861687,0.07089626556016598,2018-04-30,2682.51001,2682.870117,2648.040039,2648.050049,2648.050049,3734530000
